project_id,student_id,supervisor_id,title,category,status,year_published,dataset_available
114,114,90,Genetic Factors Influencing Blood Disorders in Pediatric,Blood Disorders,Ongoing,2023,Yes
115,115,71,Epidemiology of Sickle Cell Disease in Experimental Populations,Sickle Cell Disease,Completed,2024,Yes
116,116,3,Advances in Transfusion Medicine for Pediatric Management,Transfusion Medicine,Completed,2024,Yes
117,117,9,Correlation between Stem Cell Research and Pediatric in Pediatric,Stem Cell Research,Ongoing,2021,No
118,118,67,Molecular Mechanisms of Transfusion Medicine in Hospital Patients,Transfusion Medicine,Completed,2024,No
119,119,3,Advances in Laboratory Hematology for Hospital Management,Laboratory Hematology,Completed,2024,No
120,120,84,Clinical Outcomes of Blood Disorders in Laboratory,Blood Disorders,Ongoing,2021,Yes
121,121,80,Advances in Transfusion Medicine for Hospital Management,Transfusion Medicine,Completed,2021,Yes
122,122,40,Impact of Laboratory Hematology Protocols on Pediatric Outcomes,Laboratory Hematology,Ongoing,2023,No
123,123,100,Molecular Mechanisms of Immunohematology in Experimental Patients,Immunohematology,Ongoing,2021,Yes
124,124,85,Molecular Mechanisms of Hematologic Malignancies in Community Patients,Hematologic Malignancies,Ongoing,2023,No
125,125,7,Clinical Outcomes of Transfusion Medicine in Pediatric,Transfusion Medicine,Completed,2022,Yes
126,126,99,Molecular Mechanisms of Blood Disorders in Community Patients,Blood Disorders,Completed,2024,No
127,127,37,Evaluation of Sickle Cell Disease Techniques in Pediatric,Sickle Cell Disease,Ongoing,2024,Yes
128,128,93,Impact of Blood Disorders Protocols on Hospital Outcomes,Blood Disorders,Ongoing,2021,No
129,129,80,Correlation between Sickle Cell Disease and Experimental in Hospital,Sickle Cell Disease,Ongoing,2023,Yes
130,130,1,Evaluation of Blood Disorders Techniques in Hospital,Blood Disorders,Ongoing,2023,Yes
131,131,60,Molecular Mechanisms of Laboratory Hematology in Adult Patients,Laboratory Hematology,Completed,2022,No
132,132,80,Evaluation of Hematologic Malignancies Techniques in Adult,Hematologic Malignancies,Ongoing,2022,No
133,133,31,Advances in Hematologic Malignancies for Pediatric Management,Hematologic Malignancies,Ongoing,2022,Yes
134,134,58,Impact of Immunohematology Protocols on Pediatric Outcomes,Immunohematology,Completed,2024,No
135,135,31,Correlation between Sickle Cell Disease and Laboratory in Community,Sickle Cell Disease,Completed,2022,No
136,136,89,Epidemiology of Immunohematology in Laboratory Populations,Immunohematology,Completed,2021,Yes
137,137,25,Correlation between Immunohematology and Pediatric in Pediatric,Immunohematology,Ongoing,2021,No
138,138,6,Advances in Sickle Cell Disease for Experimental Management,Sickle Cell Disease,Completed,2021,No
139,139,96,Genetic Factors Influencing Blood Disorders in Community,Blood Disorders,Ongoing,2024,No
140,140,32,Correlation between Transfusion Medicine and Hospital in Experimental,Transfusion Medicine,Ongoing,2021,Yes
141,141,40,Evaluation of Hematologic Malignancies Techniques in Community,Hematologic Malignancies,Completed,2021,No
142,142,97,Epidemiology of Transfusion Medicine in Hospital Populations,Transfusion Medicine,Ongoing,2021,No
143,143,40,Impact of Blood Disorders Protocols on Experimental Outcomes,Blood Disorders,Completed,2022,Yes
144,144,78,Correlation between Clinical Hematology and Pediatric in Experimental,Clinical Hematology,Ongoing,2022,No
145,145,47,Correlation between Blood Disorders and Laboratory in Experimental,Blood Disorders,Completed,2024,No
146,146,38,Epidemiology of Blood Disorders in Community Populations,Blood Disorders,Ongoing,2024,Yes
147,147,2,Clinical Outcomes of Clinical Hematology in Adult,Clinical Hematology,Completed,2022,No
148,148,31,Molecular Mechanisms of Blood Disorders in Adult Patients,Blood Disorders,Ongoing,2024,Yes
149,149,86,Epidemiology of Laboratory Hematology in Experimental Populations,Laboratory Hematology,Completed,2023,No
150,150,71,Genetic Factors Influencing Laboratory Hematology in Pediatric,Laboratory Hematology,Ongoing,2022,Yes
151,151,80,Evaluation of Stem Cell Research Techniques in Adult,Stem Cell Research,Ongoing,2022,No
152,152,70,Genetic Factors Influencing Blood Disorders in Laboratory,Blood Disorders,Completed,2021,No
153,153,93,Advances in Immunohematology for Adult Management,Immunohematology,Ongoing,2024,No
154,154,28,Genetic Factors Influencing Laboratory Hematology in Laboratory,Laboratory Hematology,Completed,2024,No
155,155,77,Genetic Factors Influencing Laboratory Hematology in Adult,Laboratory Hematology,Completed,2021,No
156,156,44,Correlation between Blood Disorders and Community in Community,Blood Disorders,Ongoing,2021,No
157,157,34,Genetic Factors Influencing Blood Disorders in Hospital,Blood Disorders,Ongoing,2023,No
158,158,36,Evaluation of Blood Disorders Techniques in Community,Blood Disorders,Completed,2024,Yes
159,159,70,Clinical Outcomes of Sickle Cell Disease in Hospital,Sickle Cell Disease,Ongoing,2022,No
160,160,76,Correlation between Hematologic Malignancies and Hospital in Adult,Hematologic Malignancies,Completed,2024,No
161,161,41,Impact of Clinical Hematology Protocols on Pediatric Outcomes,Clinical Hematology,Ongoing,2023,No
162,162,66,Correlation between Transfusion Medicine and Laboratory in Pediatric,Transfusion Medicine,Ongoing,2021,No
163,163,28,Impact of Stem Cell Research Protocols on Laboratory Outcomes,Stem Cell Research,Completed,2022,No
164,164,45,Genetic Factors Influencing Laboratory Hematology in Hospital,Laboratory Hematology,Completed,2021,No
165,165,91,Advances in Clinical Hematology for Adult Management,Clinical Hematology,Completed,2023,Yes
166,166,57,Clinical Outcomes of Immunohematology in Adult,Immunohematology,Ongoing,2023,No
167,167,62,Advances in Blood Disorders for Laboratory Management,Blood Disorders,Ongoing,2021,No
168,168,77,Evaluation of Laboratory Hematology Techniques in Experimental,Laboratory Hematology,Completed,2021,No
169,169,45,Impact of Stem Cell Research Protocols on Adult Outcomes,Stem Cell Research,Completed,2023,No
170,170,15,Impact of Sickle Cell Disease Protocols on Hospital Outcomes,Sickle Cell Disease,Completed,2022,Yes
171,171,74,Clinical Outcomes of Transfusion Medicine in Hospital,Transfusion Medicine,Completed,2023,No
172,172,47,Advances in Clinical Hematology for Community Management,Clinical Hematology,Completed,2021,No
173,173,55,Advances in Sickle Cell Disease for Community Management,Sickle Cell Disease,Completed,2021,Yes
174,174,10,Genetic Factors Influencing Clinical Hematology in Hospital,Clinical Hematology,Ongoing,2024,No
175,175,41,Correlation between Sickle Cell Disease and Hospital in Laboratory,Sickle Cell Disease,Ongoing,2024,No
176,176,52,Molecular Mechanisms of Immunohematology in Adult Patients,Immunohematology,Ongoing,2023,No
177,177,37,Correlation between Hematologic Malignancies and Hospital in Community,Hematologic Malignancies,Ongoing,2023,Yes
178,178,27,Clinical Outcomes of Stem Cell Research in Experimental,Stem Cell Research,Completed,2022,No
179,179,88,Impact of Hematologic Malignancies Protocols on Laboratory Outcomes,Hematologic Malignancies,Ongoing,2021,No
180,180,49,Evaluation of Blood Disorders Techniques in Experimental,Blood Disorders,Ongoing,2022,No
181,181,7,Clinical Outcomes of Sickle Cell Disease in Pediatric,Sickle Cell Disease,Completed,2024,Yes
182,182,20,Clinical Outcomes of Immunohematology in Hospital,Immunohematology,Ongoing,2023,No
183,183,35,Correlation between Immunohematology and Laboratory in Laboratory,Immunohematology,Ongoing,2024,No
184,184,13,Epidemiology of Clinical Hematology in Community Populations,Clinical Hematology,Ongoing,2023,No
185,185,17,Evaluation of Blood Disorders Techniques in Adult,Blood Disorders,Ongoing,2024,Yes
186,186,61,Impact of Transfusion Medicine Protocols on Adult Outcomes,Transfusion Medicine,Ongoing,2021,Yes
187,187,30,Genetic Factors Influencing Transfusion Medicine in Community,Transfusion Medicine,Ongoing,2023,No
188,188,57,Impact of Stem Cell Research Protocols on Experimental Outcomes,Stem Cell Research,Ongoing,2024,No
189,189,70,Evaluation of Immunohematology Techniques in Adult,Immunohematology,Ongoing,2021,No
190,190,81,Impact of Hematologic Malignancies Protocols on Experimental Outcomes,Hematologic Malignancies,Ongoing,2023,No
191,191,64,Correlation between Stem Cell Research and Hospital in Laboratory,Stem Cell Research,Completed,2021,No
192,192,62,Epidemiology of Stem Cell Research in Laboratory Populations,Stem Cell Research,Ongoing,2021,Yes
193,193,48,Evaluation of Sickle Cell Disease Techniques in Experimental,Sickle Cell Disease,Ongoing,2022,No
194,194,25,Genetic Factors Influencing Blood Disorders in Adult,Blood Disorders,Completed,2021,No
195,195,46,Genetic Factors Influencing Immunohematology in Hospital,Immunohematology,Completed,2023,No
196,196,44,Impact of Clinical Hematology Protocols on Laboratory Outcomes,Clinical Hematology,Completed,2023,No
197,197,88,Correlation between Hematologic Malignancies and Pediatric in Adult,Hematologic Malignancies,Completed,2023,No
198,198,29,Correlation between Transfusion Medicine and Experimental in Hospital,Transfusion Medicine,Completed,2022,No
199,199,72,Genetic Factors Influencing Sickle Cell Disease in Hospital,Sickle Cell Disease,Ongoing,2022,No
200,200,11,Genetic Factors Influencing Sickle Cell Disease in Pediatric,Sickle Cell Disease,Completed,2024,No
201,201,17,Genetic Factors Influencing Hematologic Malignancies in Laboratory,Hematologic Malignancies,Completed,2023,No
202,202,52,Epidemiology of Clinical Hematology in Adult Populations,Clinical Hematology,Ongoing,2022,No
203,203,1,Genetic Factors Influencing Stem Cell Research in Experimental,Stem Cell Research,Ongoing,2023,Yes
204,204,94,Impact of Clinical Hematology Protocols on Experimental Outcomes,Clinical Hematology,Ongoing,2024,Yes
205,205,69,Correlation between Clinical Hematology and Laboratory in Experimental,Clinical Hematology,Ongoing,2021,Yes
206,206,55,Correlation between Clinical Hematology and Experimental in Laboratory,Clinical Hematology,Completed,2024,Yes
207,207,98,Clinical Outcomes of Laboratory Hematology in Pediatric,Laboratory Hematology,Ongoing,2021,No
208,208,66,Genetic Factors Influencing Immunohematology in Adult,Immunohematology,Completed,2022,No
209,209,10,Molecular Mechanisms of Hematologic Malignancies in Experimental Patients,Hematologic Malignancies,Ongoing,2021,No
210,210,72,Correlation between Laboratory Hematology and Pediatric in Laboratory,Laboratory Hematology,Completed,2023,Yes
211,211,48,Molecular Mechanisms of Sickle Cell Disease in Community Patients,Sickle Cell Disease,Completed,2023,No
212,212,9,Epidemiology of Transfusion Medicine in Pediatric Populations,Transfusion Medicine,Completed,2024,No
213,213,41,Correlation between Laboratory Hematology and Pediatric in Hospital,Laboratory Hematology,Completed,2024,No
214,214,66,Impact of Transfusion Medicine Protocols on Community Outcomes,Transfusion Medicine,Ongoing,2024,Yes
215,215,16,Epidemiology of Stem Cell Research in Pediatric Populations,Stem Cell Research,Ongoing,2022,Yes
216,216,78,Molecular Mechanisms of Stem Cell Research in Community Patients,Stem Cell Research,Ongoing,2022,No
217,217,39,Impact of Immunohematology Protocols on Laboratory Outcomes,Immunohematology,Completed,2024,Yes
218,218,21,Impact of Transfusion Medicine Protocols on Experimental Outcomes,Transfusion Medicine,Ongoing,2023,No
219,219,11,Advances in Hematologic Malignancies for Adult Management,Hematologic Malignancies,Ongoing,2022,Yes
220,220,87,Epidemiology of Sickle Cell Disease in Community Populations,Sickle Cell Disease,Ongoing,2022,No
221,221,6,Molecular Mechanisms of Stem Cell Research in Adult Patients,Stem Cell Research,Completed,2023,No
222,222,9,Molecular Mechanisms of Laboratory Hematology in Community Patients,Laboratory Hematology,Completed,2024,Yes
223,223,85,Evaluation of Laboratory Hematology Techniques in Community,Laboratory Hematology,Completed,2022,Yes
224,224,6,Molecular Mechanisms of Immunohematology in Pediatric Patients,Immunohematology,Ongoing,2021,Yes
225,225,22,Molecular Mechanisms of Sickle Cell Disease in Experimental Patients,Sickle Cell Disease,Ongoing,2021,No
226,226,83,Epidemiology of Clinical Hematology in Experimental Populations,Clinical Hematology,Ongoing,2024,No
227,227,41,Epidemiology of Hematologic Malignancies in Community Populations,Hematologic Malignancies,Ongoing,2023,No
228,228,38,Advances in Clinical Hematology for Pediatric Management,Clinical Hematology,Completed,2024,No
229,229,32,Clinical Outcomes of Sickle Cell Disease in Experimental,Sickle Cell Disease,Completed,2021,Yes
230,230,13,Clinical Outcomes of Stem Cell Research in Adult,Stem Cell Research,Ongoing,2021,Yes
231,231,53,Impact of Stem Cell Research Protocols on Pediatric Outcomes,Stem Cell Research,Ongoing,2023,No
232,232,9,Advances in Transfusion Medicine for Community Management,Transfusion Medicine,Ongoing,2023,No
233,233,12,Molecular Mechanisms of Stem Cell Research in Hospital Patients,Stem Cell Research,Completed,2021,Yes
234,234,23,Evaluation of Transfusion Medicine Techniques in Pediatric,Transfusion Medicine,Completed,2023,Yes
235,235,50,Clinical Outcomes of Hematologic Malignancies in Community,Hematologic Malignancies,Ongoing,2021,Yes
236,236,58,Evaluation of Sickle Cell Disease Techniques in Hospital,Sickle Cell Disease,Completed,2022,No
237,237,23,Impact of Clinical Hematology Protocols on Hospital Outcomes,Clinical Hematology,Ongoing,2022,No
238,238,39,Impact of Hematologic Malignancies Protocols on Community Outcomes,Hematologic Malignancies,Ongoing,2022,Yes
239,239,76,Advances in Laboratory Hematology for Pediatric Management,Laboratory Hematology,Ongoing,2023,No
240,240,17,Genetic Factors Influencing Laboratory Hematology in Experimental,Laboratory Hematology,Completed,2023,No
241,241,24,Clinical Outcomes of Hematologic Malignancies in Experimental,Hematologic Malignancies,Ongoing,2022,Yes
242,242,96,Molecular Mechanisms of Hematologic Malignancies in Laboratory Patients,Hematologic Malignancies,Ongoing,2022,No
243,243,39,Evaluation of Immunohematology Techniques in Pediatric,Immunohematology,Ongoing,2022,Yes
244,244,53,Impact of Clinical Hematology Protocols on Adult Outcomes,Clinical Hematology,Completed,2022,Yes
245,245,34,Advances in Stem Cell Research for Hospital Management,Stem Cell Research,Ongoing,2022,Yes
246,246,55,Epidemiology of Sickle Cell Disease in Pediatric Populations,Sickle Cell Disease,Ongoing,2021,No
247,247,94,Evaluation of Stem Cell Research Techniques in Community,Stem Cell Research,Completed,2023,Yes
248,248,54,Genetic Factors Influencing Clinical Hematology in Pediatric,Clinical Hematology,Ongoing,2023,No
249,249,69,Clinical Outcomes of Laboratory Hematology in Experimental,Laboratory Hematology,Completed,2021,No
250,250,64,Correlation between Stem Cell Research and Hospital in Experimental,Stem Cell Research,Completed,2024,No
251,251,71,Impact of Laboratory Hematology Protocols on Adult Outcomes,Laboratory Hematology,Ongoing,2023,Yes
252,252,44,Clinical Outcomes of Clinical Hematology in Experimental,Clinical Hematology,Ongoing,2023,No
253,253,68,Epidemiology of Blood Disorders in Laboratory Populations,Blood Disorders,Completed,2021,No
254,254,100,Epidemiology of Hematologic Malignancies in Experimental Populations,Hematologic Malignancies,Ongoing,2023,No
255,255,83,Epidemiology of Stem Cell Research in Community Populations,Stem Cell Research,Completed,2022,Yes
256,256,49,Molecular Mechanisms of Blood Disorders in Pediatric Patients,Blood Disorders,Completed,2023,Yes
257,257,69,Advances in Transfusion Medicine for Experimental Management,Transfusion Medicine,Ongoing,2023,No
258,258,66,Genetic Factors Influencing Clinical Hematology in Community,Clinical Hematology,Ongoing,2024,No
259,259,56,Clinical Outcomes of Transfusion Medicine in Adult,Transfusion Medicine,Completed,2021,No
260,260,33,Impact of Clinical Hematology Protocols on Community Outcomes,Clinical Hematology,Ongoing,2022,Yes
261,261,69,Epidemiology of Sickle Cell Disease in Hospital Populations,Sickle Cell Disease,Completed,2021,Yes
262,262,35,Impact of Immunohematology Protocols on Community Outcomes,Immunohematology,Ongoing,2023,Yes
263,263,40,Molecular Mechanisms of Immunohematology in Community Patients,Immunohematology,Completed,2023,Yes
264,264,67,Epidemiology of Laboratory Hematology in Laboratory Populations,Laboratory Hematology,Completed,2023,No
265,265,71,Impact of Immunohematology Protocols on Experimental Outcomes,Immunohematology,Ongoing,2022,Yes
266,266,80,Genetic Factors Influencing Hematologic Malignancies in Community,Hematologic Malignancies,Ongoing,2022,No
267,267,90,Genetic Factors Influencing Immunohematology in Experimental,Immunohematology,Ongoing,2022,Yes
268,268,36,Advances in Laboratory Hematology for Laboratory Management,Laboratory Hematology,Ongoing,2024,No
269,269,72,Advances in Stem Cell Research for Pediatric Management,Stem Cell Research,Ongoing,2021,No
270,270,50,Epidemiology of Transfusion Medicine in Adult Populations,Transfusion Medicine,Completed,2023,No
271,271,27,Advances in Immunohematology for Experimental Management,Immunohematology,Ongoing,2021,Yes
272,272,58,Impact of Hematologic Malignancies Protocols on Pediatric Outcomes,Hematologic Malignancies,Ongoing,2021,No
